"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","group1prop","group2prop"
"DCTN1-AS1",1.5148025421622,-1.85038678998053,0.94475634702656,-1.95858624904111,0.0501612612737192,NA,0,0.000371793282934688
"LINC01594",1.52503151087935,-1.71513581019736,0.942218306787166,-1.82031679690638,0.0687107748908208,NA,0,0.000495724377246251
"AC009312.1",1.56216455042924,-1.46563961712441,0.955695672522337,-1.53358402602807,0.125132020599109,0.19581741394474,0,0.000247862188623126
"C1QL2",1.59167438099085,-1.52447376234802,0.963306721603105,-1.58254243239478,0.113525793553958,0.18370871054133,0,0.000123931094311563
"AC012447.1",1.5765159955992,-1.30980248963975,0.919977876045796,-1.42373259590707,0.154523894148658,0.228616860378861,0,0.00148717313173875
"AC068196.1",1.52211764548329,-1.78061864602148,0.926591881169636,-1.92168600028505,0.0546452798705274,NA,0,0.000619655471557814
"AC013733.2",1.54699711406325,-1.52808988408591,0.899139388429796,-1.69950277315119,0.0892244925058306,0.158117870573675,0,0.00161110422605032
"AC007557.1",1.51333546285386,-1.86315027602459,0.950050593236821,-1.96110637611082,0.0498666151020416,NA,0,0.000247862188623126
"GBX2",1.59167438099085,-1.52447376234802,0.963306721603105,-1.58254243239478,0.113525793553958,0.18370871054133,0,0.000123931094311563
"GADL1",1.53455737977327,-1.64970935591458,0.909882916351351,-1.81310070369267,0.0698162906728286,0.139077683357315,0,0.00111537984880406
"FEZF2",1.51405885589772,-1.83930811848905,0.957520247427958,-1.9209078068372,0.0547433313812639,NA,0,0.000123931094311563
"NPHP3-AS1",1.5169930145144,-1.83092339502391,0.938980156893009,-1.94990637617119,0.0511872790310672,NA,0,0.000371793282934688
"AC104472.1",1.51333546285386,-1.86315027602459,0.950050593236821,-1.96110637611082,0.0498666151020416,NA,0,0.000247862188623126
"HTR3E-AS1",1.52769010264888,-1.71528500415803,0.927679659100766,-1.84900572878866,0.0644569855051014,NA,0,0.000619655471557814
"AC007126.1",1.52798596271667,-1.72177598817235,0.913075643612519,-1.88568822333303,0.0593369807971286,NA,0,0.000991448754492502
"AC107068.2",1.52564756033057,-1.74065828571615,0.923484087745111,-1.88488173084428,0.0594458071564545,NA,0,0.000867517660180939
"AC079160.1",1.59220688326423,-1.16729492173596,0.881826224431179,-1.32372443617099,0.185594579799246,0.261716424535372,0,0.00297434626347751
"AC104063.1",1.75155329727439,-0.97256286311126,0.811746597472477,-1.19811141326556,0.230873646187819,0.309078794669062,0.00210970464135021,0.0197050439955385
"WDFY3-AS1",1.54785133854543,-1.58152502585495,0.92755589379777,-1.7050455249436,0.0881859341779861,0.157084664206221,0,0.000495724377246251
"AC019131.3",1.5435980306543,-1.59946134882546,0.942595039456493,-1.6968701105702,0.0897212200112918,0.158614645655277,0,0.000371793282934688
"AC004704.1",1.7542205344982,-0.902260822125644,0.956816779158146,-0.94298181405169,0.345690205039509,0.425067364394318,0,0.000247862188623126
"DUX4",1.53628292733321,-1.65434605041053,0.960272332823799,-1.72278841518397,0.084926794503759,0.154079080820053,0,0.000123931094311563
"AC244517.12",1.53853512081725,-1.61349910986059,0.911948637457689,-1.76928726420236,0.0768459477107552,0.147039616820978,0,0.00111537984880406
"PCDHGC5",1.51684508448051,-1.80368342142327,0.957944713972374,-1.8828679725616,0.0597182625472377,NA,0,0.000123931094311563
"AL138831.1",1.53734360835606,-1.6355324657375,0.902024872343817,-1.81317889992073,0.0698042331099327,0.139077683357315,0,0.00111537984880406
"AL589740.1",1.53821493143381,-1.6118742194611,0.907155501462605,-1.77684445154362,0.0755938359222058,0.145319858856543,0,0.00123931094311563
"AL357075.3",1.51405885589772,-1.83930811848905,0.957520247427958,-1.9209078068372,0.0547433313812639,NA,0,0.000123931094311563
"SP8",1.99803976475922,-0.324052094581227,0.947577817542181,-0.341979401144859,0.732366394206293,0.780413749947226,0,0.000123931094311563
"AC037441.1",1.58431631693318,-1.21967852202135,0.881732415746191,-1.38327513000547,0.166580520716156,0.241559060198609,0,0.00309827735778907
"AC107373.2",1.59167438099085,-1.52447376234802,0.963306721603105,-1.58254243239478,0.113525793553958,0.18370871054133,0,0.000123931094311563
"AC091185.1",1.5148025421622,-1.85038678998053,0.94475634702656,-1.95858624904111,0.0501612612737192,NA,0,0.000371793282934688
"AC105230.1",1.59167438099085,-1.52447376234802,0.963306721603105,-1.58254243239478,0.113525793553958,0.18370871054133,0,0.000123931094311563
"STAU2-AS1",1.51684508448051,-1.80368342142327,0.957944713972374,-1.8828679725616,0.0597182625472377,NA,0,0.000123931094311563
"AP003351.1",1.51405885589772,-1.83930811848905,0.957520247427958,-1.9209078068372,0.0547433313812639,NA,0,0.000123931094311563
